Item_Name,Category,Sub_Category,Condition,Market_Price_RM
Acer Laptop,Electronic,Computer,9,1200.00
Acer Laptop,Electronic,Computer,6,600.00
iPad 9th Gen,Electronic,Tablet,9,900.00
iPad 9th Gen,Electronic,Tablet,7,650.00
Logitech Wireless Mouse,Electronic,Accessories,9,35.00
Logitech Wireless Mouse,Electronic,Accessories,5,15.00
Mechanical Keyboard,Electronic,Accessories,8,60.00
Extension Plug (5 way),Electronic,Accessories,8,15.00
Midea Mini Fridge,Electronic,Appliances,9,280.00
Midea Mini Fridge,Electronic,Appliances,6,150.00
Khind Table Fan,Electronic,Appliances,8,35.00
Microwave Oven,Electronic,Appliances,8,90.00
Electric Kettle,Electronic,Appliances,9,25.00
Electric Kettle,Electronic,Appliances,5,10.00
Small Rice Cooker,Electronic,Appliances,8,30.00
Hair Dryer,Electronic,Appliances,9,25.00
Desk Lamp,Electronic,Appliances,9,15.00
Single Bed Frame (Metal),Furniture,Bedroom,8,60.00
Single Mattress,Furniture,Bedroom,7,40.00
IKEA Study Desk,Furniture,Study,8,70.00
IKEA Study Desk,Furniture,Study,5,30.00
Office Chair,Furniture,Study,8,45.00
Plastic Drawer (3 Tier),Furniture,Storage,9,30.00
Plastic Drawer (3 Tier),Furniture,Storage,6,15.00
Cloth Wardrobe,Furniture,Storage,7,20.00
IKEA Trolley,Furniture,Storage,9,35.00
Storage Box (Large),Furniture,Storage,8,15.00
Standing Mirror,Furniture,Decor,8,20.00
Clothes Drying Rack,Furniture,Laundry,8,25.00
Clothes Hangers (20 pcs),Furniture,Laundry,9,8.00
Laundry Basket,Furniture,Laundry,8,5.00
Frying Pan,Kitchenware,Cooking,8,15.00
Frying Pan,Kitchenware,Cooking,5,5.00
Cooking Pot,Kitchenware,Cooking,8,18.00
Water Jug,Kitchenware,Dining,9,8.00
Mug/Cup,Kitchenware,Dining,9,3.00
Plate & Bowl Set,Kitchenware,Dining,9,10.00
Dish Rack,Kitchenware,Storage,8,12.00
Uniqlo T-Shirt,Fashion,Clothing,9,15.00
Uniqlo T-Shirt,Fashion,Clothing,7,8.00
Denim Jacket,Fashion,Clothing,9,30.00
Denim Jacket,Fashion,Clothing,6,15.00
Formal Shirt,Fashion,Clothing,9,20.00
Backpack,Fashion,Bags,8,35.00
Tote Bag,Fashion,Bags,9,10.00
Sneakers,Fashion,Shoes,8,40.00
Apron,Fashion,Accessories,9,5.00
Oven Gloves,Fashion,Accessories,9,5.00
Casio 570EX Calculator,Books & Stationery,Stationery,9,50.00
Casio 570EX Calculator,Books & Stationery,Stationery,6,30.00
A4 Paper (Half Ream),Books & Stationery,Stationery,10,6.00
Engineering Textbook,Books & Stationery,Textbooks,9,40.00
Engineering Textbook,Books & Stationery,Textbooks,6,15.00
Business Law Textbook,Books & Stationery,Textbooks,8,35.00
Blank Notebooks (Bundle),Books & Stationery,Stationery,10,5.00
Yoga Mat,Sports,Fitness,9,15.00
Yoga Mat,Sports,Fitness,6,8.00
Dumbbells (5kg x2),Sports,Fitness,8,40.00
Badminton Racket,Sports,Racket,8,35.00
Bicycle (Basic),Sports,Outdoors,7,120.00
Type-C Charging Cable,Electronic,Accessories,9,8.00
Logitech Wireless Mouse,Electronic,Accessories,9,35.00
Logitech Wireless Mouse,Electronic,Accessories,5,15.00
Mechanical Keyboard,Electronic,Accessories,8,60.00
Bluetooth Earphones,Electronic,Audio,9,50.00
Bluetooth Earphones,Electronic,Audio,6,20.00
Midea Mini Fridge,Electronic,Appliances,9,280.00
Midea Mini Fridge,Electronic,Appliances,6,150.00
Microwave Oven (Sharp),Electronic,Appliances,8,90.00
Microwave Oven (Sharp),Electronic,Appliances,5,45.00
Air Fryer (Khind),Electronic,Appliances,8,70.00
Air Fryer (Khind),Electronic,Appliances,5,35.00
Toaster,Electronic,Appliances,9,25.00
Small Electric Stove,Electronic,Appliances,8,25.00
Small Electric Stove,Electronic,Appliances,5,10.00
Hair Dryer,Electronic,Appliances,9,25.00
Handheld Vacuum Cleaner,Electronic,Appliances,8,45.00
Water Dispenser (Basic),Electronic,Appliances,8,20.00
Single Bed Frame (Metal),Furniture,Bedroom,8,60.00
Single Mattress,Furniture,Bedroom,7,40.00
IKEA Study Desk,Furniture,Study,8,70.00
IKEA Study Desk,Furniture,Study,5,30.00
Study Chair,Furniture,Study,8,40.00
Plastic Drawer (3 Tier),Furniture,Storage,9,30.00
Plastic Drawer (3 Tier),Furniture,Storage,6,15.00
IKEA Trolley,Furniture,Storage,9,35.00
IKEA Trolley,Furniture,Storage,6,18.00
Storage Box (Large),Furniture,Storage,8,15.00
Standing Mirror,Furniture,Decor,8,20.00
Clothes Drying Rack,Furniture,Laundry,8,25.00
Clothes Hangers (20 pcs),Furniture,Laundry,9,8.00
Bucket & Toilet Brush Set,Furniture,Bathroom,8,5.00
Frying Pan,Furniture,Kitchenware,8,15.00
Cooking Pot,Furniture,Kitchenware,8,18.00
Water Jug,Furniture,Kitchenware,9,8.00
Mug/Cup,Furniture,Kitchenware,9,3.00
Plate & Bowl Set,Furniture,Kitchenware,9,10.00
Uniqlo T-Shirt,Fashion,Clothing,9,15.00
Uniqlo T-Shirt,Fashion,Clothing,6,5.00
Denim Jacket,Fashion,Clothing,9,30.00
Formal Shirt,Fashion,Clothing,9,20.00
Apron,Fashion,Accessories,9,5.00
Oven Gloves,Fashion,Accessories,9,5.00
Casio 570EX Calculator,Books,Stationery,9,50.00
Casio 570EX Calculator,Books,Stationery,6,30.00
Engineering Textbook,Books,Textbooks,9,40.00
Business Law Textbook,Books,Textbooks,8,35.00
Blank Notebooks (Bundle),Books,Stationery,10,5.00
Yoga Mat,Sports,Fitness,9,15.00
Yoga Mat,Sports,Fitness,6,8.00
Dumbbells (5kg x2),Sports,Fitness,8,40.00
Badminton Racket,Sports,Racket,8,35.00
